inn%address%main_okved%main_descr%add_okveds%add_descrs%КПП%ОГРН%ДатаОГРН%ДатаРег%Статус%Капитал%НаимПолнЮЛ
7701984274%105005, г. Москва, пер. Плетешковский, д. 2%36.00%Забор, очистка и распределение воды%61.1|62.02.4|55.10|35.11.2|96.04|37.00|52.10|74.20|56.29%Деятельность в области связи на базе проводных технологий|Деятельность по подготовке компьютерных систем к эксплуатации|Деятельность гостиниц и прочих мест для временного проживания|Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций|Деятельность физкультурно- оздоровительная|Сбор и обработка сточных вод|Деятельность по складированию и хранению|Деятельность в области фотографии|Деятельность предприятий общественного питания по прочим видам организации питания%770101001%1127747298250%2012-12-29%2012-12-29%Действующее%228816897453.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ"""
5003021311%197110, г. Санкт-Петербург, Адмирала Лазарева набережная, д. 24, литер А%46.71%Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами%68.20.2|70.22|68.10.22|77.11|77.39.29|66.12.2|68.10.21|64.99.3|77.39.1%Аренда и управление собственным или арендованным нежилым недвижимым имуществом|Консультирование по вопросам коммерческой деятельности и управления|Покупка и продажа собственных нежилых зданий и помещений|Аренда и лизинг легковых автомобилей и легких автотранспортных средств|Аренда и лизинг прочих машин и оборудования научного и промышленного назначения|Деятельность по управлению ценными бумагами|Покупка и продажа собственного жилого недвижимого имущества|Капиталовложения в уставные капиталы, венчурное инвестирование, в том числе посредством инвестиционных компаний|Аренда и лизинг прочих сухопутных транспортных средств и оборудования%781301001%1025000653930%2002-10-18%1996-12-27%Действующее%45425043600.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ"""
7802059185%195267, г. Санкт-Петербург, вн. тер. г. муниципальный округ № 21, пр-кт Гражданский, д. 122, к. 5, литера А%42.11%Строительство автомобильных дорог и автомагистралей%56.10.3|50.40.2|50.30|71.12.45|50.40|55.10|93.2|92.1|71.20%Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах|Буксировка и маневровые услуги на внутренних водных путях|Деятельность внутреннего водного пассажирского транспорта|Создание геодезической, нивелирной, гравиметрической сетей|Деятельность внутреннего водного грузового транспорта|Деятельность гостиниц и прочих мест для временного проживания|Деятельность в области отдыха и развлечений|Деятельность по организации и проведению азартных игр и заключения пари|Технические испытания, исследования, анализ и сертификация%780401001%1037804006811%2003-01-03%1994-05-26%Действующее%10500.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВАД"""
2437261631%663230, Красноярский край, Туруханский район, с. Туруханск, ул. Шадрина А. Е., зд. 20%06.10.1%Добыча нефти%71.12.3|71.12.9|71.12.41|43.29|46.90|19.20|68.10|85.23|69.20%Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы|Землеустройство|Деятельность геодезическая, кроме создания геодезической, нивелирной и гравиметрической сетей|Производство прочих строительно-монтажных работ|Торговля оптовая неспециализированная|Производство нефтепродуктов|Покупка и продажа собственного недвижимого имущества|Подготовка кадров высшей квалификации|Деятельность по оказанию услуг в области бухгалтерского учета, по проведению финансового аудита, по налоговому консультированию%243701001%1042400920077%2004-02-12%2004-02-12%Действующее%11895655.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВАНКОРНЕФТЬ"""
7740000044%196105, г. Санкт-Петербург, пр-кт Московский, д. 139, корп. 1 стр. 1, помещ. 1-Н (ч.п. 231)%46.18%Деятельность агентов, специализирующихся на оптовой торговле прочими отдельными видами товаров%73.20|43.99|46.12|46.14|41.20|82.99|46.15|46.13%Исследование конъюнктуры рынка и изучение общественного мнения|Работы строительные специализированные прочие, не включенные в другие группировки|Деятельность агентов по оптовой торговле топливом, рудами, металлами и химическими веществами|Деятельность агентов по оптовой торговле машинами, промышленным оборудованием, судами и летательными аппаратами|Строительство жилых и нежилых зданий|Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки|Деятельность агентов по оптовой торговле мебелью, бытовыми товарами, скобяными, ножевыми и прочими металлическими изделиями|Деятельность агентов по оптовой торговле лесоматериалами и строительными материалами%781001001%1027700501113%2002-12-06%1999-07-06%Действующее%2345613944.27%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ КОМПЛЕКТАЦИЯ"""
274051582%450052, Республика Башкортостан, г. о. город Уфа, г. Уфа, ул. Карла Маркса, д. 30/1%06.10.1%Добыча нефти%81.29.2|82.30|74.20|82.92|85.41.9|52.24|46.19|77.21|73.20%Подметание улиц и уборка снега|Деятельность по организации конференций и выставок|Деятельность в области фотографии|Деятельность по упаковыванию товаров|Образование дополнительное детей и взрослых, не включенное в другие группировки|Транспортная обработка грузов|Деятельность агентов по оптовой торговле универсальным ассортиментом товаров|Прокат и аренда товаров для отдыха и спортивных товаров|Исследование конъюнктуры рынка и изучение общественного мнения%27501001%1020202555240%2002-10-15%1995-01-13%Действующее%177634501.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ НЕФТЯНАЯ КОМПАНИЯ ""БАШНЕФТЬ"""
6604008860%620141, Свердловская область, г. Екатеринбург, ул. Артинская, д. 15%46.71%Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами%45.3|45.19.4|46.63|46.90|45.11.4|45.19.1|77.11|45.11.1|64.91%Торговля автомобильными деталями, узлами и принадлежностями|Торговля оптовая прочими автотранспортными средствами за вознаграждение или на договорной основе|Торговля оптовая машинами и оборудованием для добычи полезных ископаемых и строительства|Торговля оптовая неспециализированная|Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами за вознаграждение или на договорной основе|Торговля оптовая прочими автотранспортными средствами|Аренда и лизинг легковых автомобилей и легких автотранспортных средств|Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами|Деятельность по финансовой аренде (лизингу/сублизингу)%667801001%1026600666432%2002-08-01%1998-12-30%Действующее%4000000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛСЕВЕРГАЗ - НЕЗАВИСИМАЯ ГАЗОВАЯ КОМПАНИЯ"""
7724490000%125252, г. Москва, вн. тер. г. муниципальный округ Хорошевский, ул. 3-я Песчаная, д. 2А%53.10%Деятельность почтовой связи общего пользования%93.29|53.10.9|52.21.12|72.19|85.23|66.22|62.09|47.99|74.90.99%Деятельность по организации отдыха и развлечений прочая|Деятельность почтовой связи общего пользования прочая|Деятельность железнодорожных пассажирских вокзалов и грузовых терминалов|Научные исследования и разработки в области естественных и технических наук прочие|Подготовка кадров высшей квалификации|Деятельность страховых агентов и брокеров|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Торговля розничная прочая вне магазинов, палаток, рынков|Деятельность в области защиты информации прочая%771401001%1197746000000%2019-10-01%2019-10-01%Действующее%94279394000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОЧТА РОССИИ"""
7721632827%109507, г. Москва, ул. Ферганская, д. 25%35.11.3%Производство электроэнергии атомными электростанциями, в том числе деятельность по обеспечению работоспособности электростанций%35.30.3|37.00|85.42|35.30.2|42.22.3|35.30.12|63.11|71.11.1|35.30.5%Распределение пара и горячей воды (тепловой энергии)|Сбор и обработка сточных вод|Образование профессиональное дополнительное|Передача пара и горячей воды (тепловой энергии)|Строительство электростанций|Производство пара и горячей воды (тепловой энергии) атомными электростанциями|Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность|Деятельность в области архитектуры, связанная с созданием архитектурного объекта|Обеспечение работоспособности тепловых сетей%772101001%5087746119951%2008-09-17%2008-09-17%Действующее%830313906474.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ"""
7707083893%117312, г. Москва, ул. Вавилова, д. 19%64.19%Денежное посредничество прочее%62.09%Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая%773601001%1027700132195%2002-08-16%1991-06-20%Действующее%67760844000.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ"""
