inn%address%main_okved%main_descr%add_okveds%add_descrs%КПП%ОГРН%ДатаОГРН%ДатаРег%Статус%Капитал%НаимПолнЮЛ
5192110268%183038, Мурманская область, г. о. город Мурманск, тер. Мурманск-17, д. 1%52.22.18%Деятельность ледокольного флота на морском транспорте%50.30|50.40|71.12.42|68.20.2|35.12|56.10|52.24|35.30.1|56.10.3%Деятельность внутреннего водного пассажирского транспорта|Деятельность внутреннего водного грузового транспорта|Деятельность картографическая, кроме создания топографических карт и планов|Аренда и управление собственным или арендованным нежилым недвижимым имуществом|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Деятельность ресторанов и услуги по доставке продуктов питания|Транспортная обработка грузов|Производство пара и горячей воды (тепловой энергии)|Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах%519001001%1025100864117%2002-12-06%1998-09-01%Действующее%122190219403.27%ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА
7838129301%190031, г. Санкт-Петербург, вн. тер. г. муниципальный округ Адмиралтейский Округ, ул. Малая Морская, д. 12, литера А%35.30.14%Производство пара и горячей воды (тепловой энергии) котельными%35.22|49.41.1|49.32|49.41.2|62.09|62.01|85.21|56.29|62.03%Распределение газообразного топлива по газораспределительным сетям|Перевозка грузов специализированными автотранспортными средствами|Деятельность легкового такси и арендованных легковых автомобилей с водителем|Перевозка грузов неспециализированными автотранспортными средствами|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Разработка компьютерного программного обеспечения|Образование профессиональное среднее|Деятельность предприятий общественного питания по прочим видам организации питания|Деятельность по управлению компьютерным оборудованием%783801001%1257800019322%2025-03-03%2025-03-03%Действующее%99596864000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКС САНКТ-ПЕТЕРБУРГА"""
1102054991%194044, г. Санкт-Петербург, ул. Смолячкова, д. 6, корп. 1 стр. 1, офис 901%19.20%Производство нефтепродуктов%42.11|86.90.9|71.20.1|52.29|71.12.63|42.91|61.1|49.50.21|43.3%Строительство автомобильных дорог и автомагистралей|Деятельность в области медицины прочая, не включенная в другие группировки|Испытания и анализ состава и чистоты материалов и веществ: анализ химических и биологических свойств материалов и веществ; испытания и анализ в области гигиены питания, включая ветеринарный контроль и контроль за производством продуктов питания|Деятельность вспомогательная прочая, связанная с перевозками|Деятельность в области аккредитации|Строительство водных сооружений|Деятельность в области связи на базе проводных технологий|Транспортирование по трубопроводам газа|Работы строительные отделочные%780201001%1071102001651%2007-05-01%2007-05-01%Действующее%383337013758.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ПЕРЕРАБОТКА"""
7704784450%119435, г. Москва, ул. Большая Пироговская, д. 27, стр. 1%35.11%Производство электроэнергии%49.41.1|52.10.21|93.11|71.12.1|71.12.62|33.13|91.01|36.00.2|35.11.1%Перевозка грузов специализированными автотранспортными средствами|Хранение и складирование нефти и продуктов ее переработки|Деятельность спортивных объектов|Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора|Деятельность в области метрологии|Ремонт электронного и оптического оборудования|Деятельность библиотек и архивов|Распределение воды для питьевых и промышленных нужд|Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций%770401001%1117746460358%2011-06-15%2011-06-15%Действующее%172491169361.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ"""
1102024468%169300, Республика Коми, г. Ухта, Газовиков набережная, д. 10/1%49.50.21%Транспортирование по трубопроводам газа%68.32.2|52.10.21|84.22|33.11|71.20|35.30.14|86.90.9|85.11|85.30%Управление эксплуатацией нежилого фонда за вознаграждение или на договорной основе|Хранение и складирование нефти и продуктов ее переработки|Деятельность, связанная с обеспечением военной безопасности|Ремонт металлоизделий|Технические испытания, исследования, анализ и сертификация|Производство пара и горячей воды (тепловой энергии) котельными|Деятельность в области медицины прочая, не включенная в другие группировки|Образование дошкольное|Обучение профессиональное%110201001%1021100731190%2002-08-27%1999-06-30%Действующее%5866846817.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ УХТА"""
2607018122%196605, г. Санкт-Петербург, вн. тер. г. поселок Шушары, Петербургское шоссе, д. 66, к. 1, литера А, этаж 7, помещ. 36-Н, каб. 701%35.11.1%Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций%35.11.3|49.20|47.30|49.31.2|52.21.2|52.10|68.32|49.41.1|52.10.21%Производство электроэнергии атомными электростанциями, в том числе деятельность по обеспечению работоспособности электростанций|Деятельность железнодорожного транспорта: грузовые перевозки|Торговля розничная моторным топливом в специализированных магазинах|Регулярные перевозки пассажиров прочим сухопутным транспортом в городском и пригородном сообщении|Деятельность вспомогательная, связанная с автомобильным транспортом|Деятельность по складированию и хранению|Управление недвижимым имуществом за вознаграждение или на договорной основе|Перевозка грузов специализированными автотранспортными средствами|Хранение и складирование нефти и продуктов ее переработки%781701001%1052600002180%2005-03-09%2005-03-09%Действующее%49402398989.2446%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВТОРАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ ОПТОВОГО РЫНКА ЭЛЕКТРОЭНЕРГИИ"""
8617002073%628412, Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Университетская, зд. 1%49.50.21%Транспортирование по трубопроводам газа%55.90|56.29.2|85.41.91|77.39.2|35.12.2|68.20.2|66.30.6|35.21|68.32.3%Деятельность по предоставлению прочих мест для временного проживания|Деятельность столовых и буфетов при предприятиях и учреждениях|Деятельность по организации отдыха детей и их оздоровления|Аренда и лизинг прочих машин и оборудования, не включенных в другие группировки|Технологическое присоединение к распределительным электросетям|Аренда и управление собственным или арендованным нежилым недвижимым имуществом|Управление на основе индивидуальных договоров доверительного управления активами|Производство газа|Деятельность по технической инвентаризации недвижимого имущества%860201001%1028601679314%2002-10-30%1999-06-30%Действующее%9723524824.42%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ"""
6659209750%620026, Свердловская область, г. Екатеринбург, ул. Куйбышева, стр. 44А, офис 13/1%49.20%Деятельность железнодорожного транспорта: грузовые перевозки%52.24|52.21|52.29|73.20.1|52.10|52.2|77.39.12|33.12|77.3%Транспортная обработка грузов|Деятельность вспомогательная, связанная с сухопутным транспортом|Деятельность вспомогательная прочая, связанная с перевозками|Исследование конъюнктуры рынка|Деятельность по складированию и хранению|Деятельность транспортная вспомогательная|Аренда и лизинг железнодорожного транспорта и оборудования|Ремонт машин и оборудования|Аренда и лизинг прочих машин и оборудования и материальных средств%668501001%1106659010600%2010-09-24%2010-09-24%Действующее%87829436049.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ГРУЗОВАЯ КОМПАНИЯ"""
2460066195%660049, Красноярский край, г. о. город Красноярск, г. Красноярск, ул. Перенсона, зд. 2А, помещ. 1%35.11.2%Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций%37.00|36.00.2|70.22|71.12.53|35.14|36.00.1|85.42|35.11.4|77.39%Сбор и обработка сточных вод|Распределение воды для питьевых и промышленных нужд|Консультирование по вопросам коммерческой деятельности и управления|Деятельность по мониторингу загрязнения окружающей среды для физических и юридических лиц|Торговля электроэнергией|Забор и очистка воды для питьевых и промышленных нужд|Образование профессиональное дополнительное|Производство электроэнергии, получаемой из возобновляемых источников энергии, включая выработанную солнечными, ветровыми, геотермальными электростанциями, в том числе деятельность по обеспечению их работоспособности|Аренда и лизинг прочих видов транспорта, оборудования и материальных средств, не включенных в другие группировки%246601001%1042401810494%2004-12-26%2004-12-26%Действующее%444793377038.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ГИДРОГЕНЕРИРУЮЩАЯ КОМПАНИЯ - РУСГИДРО"""
7720518494%119526, г. Москва, пр-кт Вернадского, д. 101, корп. 3, эт/каб 20/2017%35.30.1%Производство пара и горячей воды (тепловой энергии)%43.2|43.3|35.12|43.99|46.77|35.13|35.30.11|63.11.1|84.25.1%Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ|Работы строительные отделочные|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Работы строительные специализированные прочие, не включенные в другие группировки|Торговля оптовая отходами и ломом|Распределение электроэнергии|Производство пара и горячей воды (тепловой энергии) тепловыми электростанциями|Деятельность по созданию и использованию баз данных и информационных ресурсов|Деятельность по обеспечению пожарной безопасности%772901001%1047796974092%2004-12-16%2004-12-16%Действующее%25627131700.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ"""
7724053916%115201, г. Москва, Каширское шоссе, д. 22, корп. 4%46.46.1%Торговля оптовая фармацевтической продукцией%82.99|46.45|21.20.1|69.10|41.20|52.10.9|73.11|47.73|49.39%Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки|Торговля оптовая парфюмерными и косметическими товарами|Производство лекарственных препаратов для медицинского применения|Деятельность в области права|Строительство жилых и нежилых зданий|Хранение и складирование прочих грузов|Деятельность рекламных агентств|Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)|Деятельность прочего сухопутного пассажирского транспорта, не включенная в другие группировки%772401001%1027700266670%2002-10-01%1994-06-20%Действующее%100000000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ВНЕДРЕНИЯ ""ПРОТЕК"""
7719555477%127473, г. Москва, ул. Делегатская, д. 5, стр. 1%80.10%Деятельность охранных служб, в том числе частных%58.14|62.01|93.11|72.19|86.90.4|43.21|71.12.12|49.42|45.20%Издание журналов и периодических изданий|Разработка компьютерного программного обеспечения|Деятельность спортивных объектов|Научные исследования и разработки в области естественных и технических наук прочие|Деятельность санаторно-курортных организаций|Производство электромонтажных работ|Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности|Предоставление услуг по перевозкам|Техническое обслуживание и ремонт автотранспортных средств%770701001%1057747117724%2005-05-30%2005-05-30%Действующее%850000000.0%"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ОХРАНА"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ"
6164266561%344002, Ростовская область, г. о. город Ростов-На-Дону, г. Ростов-На-Дону, ул. Большая Садовая, д. 49/42%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%61.10.3|56.10|36.00|62.09|55.90|56.10.3|86.90.4|71.12.2|63.11%Деятельность по предоставлению услуг по передаче данных и услуг доступа к информационно-коммуникационной сети Интернет|Деятельность ресторанов и услуги по доставке продуктов питания|Забор, очистка и распределение воды|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Деятельность по предоставлению прочих мест для временного проживания|Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонах-ресторанах и на судах|Деятельность санаторно-курортных организаций|Деятельность заказчика-застройщика, генерального подрядчика|Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность%616401001%1076164009096%2007-06-28%2007-06-28%Действующее%69227956368.03%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЮГ"""
7706107510%115035, г. Москва, Софийская набережная, д. 26/1%06.10.1%Добыча нефти%49.50.11|49.50.12|70.10.2|56.29|09.10.1|50.30|49.50.21|09.10.2|52.10.22%Транспортирование по трубопроводам нефти|Транспортирование по трубопроводам нефтепродуктов|Деятельность по управлению холдинг-компаниями|Деятельность предприятий общественного питания по прочим видам организации питания|Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата|Деятельность внутреннего водного пассажирского транспорта|Транспортирование по трубопроводам газа|Предоставление услуг по монтажу, ремонту и демонтажу буровых вышек|Хранение и складирование газа и продуктов его переработки%770601001%1027700043502%2002-07-19%1995-12-07%Действующее%105981778.17%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЯНАЯ КОМПАНИЯ ""РОСНЕФТЬ"""
7705454461%109012, г. Москва, Китайгородский проезд, д. 7, стр. 3%35.13%Распределение электроэнергии%35.11.3|35.12|42.22|35.11.4|68.20|35.11|35.11.1|84.11.8|35.11.2%Производство электроэнергии атомными электростанциями, в том числе деятельность по обеспечению работоспособности электростанций|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Строительство коммунальных объектов для обеспечения электроэнергией и телекоммуникациями|Производство электроэнергии, получаемой из возобновляемых источников энергии, включая выработанную солнечными, ветровыми, геотермальными электростанциями, в том числе деятельность по обеспечению их работоспособности|Аренда и управление собственным или арендованным недвижимым имуществом|Производство электроэнергии|Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций|Управление имуществом, находящимся в государственной собственности|Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций%770501001%1027700201352%2002-09-09%2002-06-17%Действующее%2576367459.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИСТЕМНЫЙ ОПЕРАТОР ЕДИНОЙ ЭНЕРГЕТИЧЕСКОЙ СИСТЕМЫ"""
7726311464%123154, г. Москва, ул. Берзарина, д. 19, корп. 1%21.20%Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии%46.49.49|62.02|46.90|47.19|70.22|72.1|49.39.13|47.73|46.46%Торговля оптовая прочими потребительскими товарами, не включенными в другие группировки|Деятельность консультативная и работы в области компьютерных технологий|Торговля оптовая неспециализированная|Торговля розничная прочая в неспециализированных магазинах|Консультирование по вопросам коммерческой деятельности и управления|Научные исследования и разработки в области естественных и технических наук|Специальные перевозки (для собственных нужд) автобусами|Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)|Торговля оптовая фармацевтической продукцией%773401001%1027739700020%2002-12-05%2001-08-17%Действующее%28400.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Р-ФАРМ"""
7723011906%117420, г. Москва, ул. Намёткина, д. 12, стр. 1%61.10%Деятельность в области связи на базе проводных технологий%26.30.15|43.21|80.20|26.30.14|56.29|26.30.13|63.11.1|71.12.5|26.30.16%Производство радиоэлектронных средств связи|Производство электромонтажных работ|Деятельность систем обеспечения безопасности|Производство оборудования, используемого для учета объема оказанных услуг связи|Деятельность предприятий общественного питания по прочим видам организации питания|Производство средств связи, выполняющих функцию систем управления и мониторинга|Деятельность по созданию и использованию баз данных и информационных ресурсов|Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения|Производство оборудования средств связи, в том числе программное обеспечение, обеспечивающее выполнение установленных действий при проведении оперативно-розыскных мероприятий%772801001%1027739420961%2002-10-21%1994-09-16%Действующее%26048348140.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЯЗЬ ОБЪЕКТОВ ТРАНСПОРТА И ДОБЫЧИ НЕФТИ"""
7734135124%125167, г. Москва, пр-кт Ленинградский, д. 37, корп. 7%52.2%Деятельность транспортная вспомогательная%52.23.12|73.11|52.23.19|55.90|86.10|86.22|62.09|61.10.3|49.39.39%Обеспечение обслуживания (управления) воздушного движения|Деятельность рекламных агентств|Деятельность вспомогательная прочая, связанная с воздушным транспортом|Деятельность по предоставлению прочих мест для временного проживания|Деятельность больничных организаций|Специальная врачебная практика|Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая|Деятельность по предоставлению услуг по передаче данных и услуг доступа к информационно-коммуникационной сети Интернет|Перевозки пассажиров сухопутным транспортом прочие, не включенные в другие группировки%771401001%1027739057500%2002-08-09%1996-12-25%Действующее%15995936448.46%"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО ОРГАНИЗАЦИИ ВОЗДУШНОГО ДВИЖЕНИЯ В РОССИЙСКОЙ ФЕДЕРАЦИИ"""
8904034784%629305, Ямало-Ненецкий автономный округ, г. о. город Новый Уренгой, г. Новый Уренгой, ул. Железнодорожная, д. 8%06.20%Добыча природного газа и газового конденсата%49.20|84.22|35.30.14|86.23|37.00|35.13|55.10|19.20|43.12.3%Деятельность железнодорожного транспорта: грузовые перевозки|Деятельность, связанная с обеспечением военной безопасности|Производство пара и горячей воды (тепловой энергии) котельными|Стоматологическая практика|Сбор и обработка сточных вод|Распределение электроэнергии|Деятельность гостиниц и прочих мест для временного проживания|Производство нефтепродуктов|Производство земляных работ%890401001%1028900628932%2002-12-17%1999-06-30%Действующее%12659049158.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ"""
7705035012%119526, г. Москва, пр-кт Вернадского, д. 101, корп. 3%35.11.1%Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций%71.12.6|35.12|33.20|46.90|35.11.3|35.30.6|61.10|35.14|35.30.3%Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Монтаж промышленных машин и оборудования|Торговля оптовая неспециализированная|Производство электроэнергии атомными электростанциями, в том числе деятельность по обеспечению работоспособности электростанций|Торговля паром и горячей водой (тепловой энергией)|Деятельность в области связи на базе проводных технологий|Торговля электроэнергией|Распределение пара и горячей воды (тепловой энергии)%772901001%1027700302420%2002-10-11%1993-04-06%Действующее%39749359700.0%"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ ""МОСЭНЕРГО"""
7717127211%129515, г. Москва, ул. Академика Королева, д. 13, стр. 1%61.20%Деятельность в области связи на базе беспроводных технологий%61.10.6|71.12.4|93.29.9|90.04.1|73.1|26.1|71.12.55|47.73|33.1%Деятельность операторов связи по присоединению и пропуску трафика|Деятельность геодезическая и картографическая|Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки|Деятельность концертных залов, театров, оперных зданий, мюзик-холлов, включая услуги билетных касс|Деятельность рекламная|Производство элементов электронной аппаратуры и печатных схем (плат)|Деятельность по обработке и предоставлению гидрометеорологической информации органам государственной власти и населению|Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)|Ремонт и монтаж металлических изделий, машин и оборудования%771701001%1027739456084%2002-10-25%2001-11-23%Действующее%49549990982.75%"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОССИЙСКАЯ ТЕЛЕВИЗИОННАЯ И РАДИОВЕЩАТЕЛЬНАЯ СЕТЬ"""
2722130919%675000, Амурская область, г. Свободный, тер. Тор Амурская%20.14%Производство прочих основных органических химических веществ%42.21|42.22.2|35.22|68.10|70.22|68.20|49.50%Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения|Строительство местных линий электропередачи и связи|Распределение газообразного топлива по газораспределительным сетям|Покупка и продажа собственного недвижимого имущества|Консультирование по вопросам коммерческой деятельности и управления|Аренда и управление собственным или арендованным недвижимым имуществом|Деятельность трубопроводного транспорта%280701001%1142722003467%2014-07-03%2014-07-03%Действующее%219676323762.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК"""
1657036630%420107, Республика Татарстан, г. о. город Казань, г. Казань, ул. Марселя Салимжанова, д. 1%35.11%Производство электроэнергии%63.11.1|35.13|55.10|35.14|35.12|35.30.14|35.30|35.30.2|35.11.1%Деятельность по созданию и использованию баз данных и информационных ресурсов|Распределение электроэнергии|Деятельность гостиниц и прочих мест для временного проживания|Торговля электроэнергией|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Производство пара и горячей воды (тепловой энергии) котельными|Производство, передача и распределение пара и горячей воды; кондиционирование воздуха|Передача пара и горячей воды (тепловой энергии)|Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций%165501001%1021603139690%2002-08-21%2001-12-11%Действующее%9435462899.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТЭНЕРГО"""
7201000726%625027, Тюменская область, г. Тюмень, ул. Республики, д. 139%49.50.11%Транспортирование по трубопроводам нефти%52.10.9|52.21|77.39.1|28.15|80.20|28.14|55.90|68.20.2|80.10%Хранение и складирование прочих грузов|Деятельность вспомогательная, связанная с сухопутным транспортом|Аренда и лизинг прочих сухопутных транспортных средств и оборудования|Производство подшипников, зубчатых передач, элементов механических передач и приводов|Деятельность систем обеспечения безопасности|Производство арматуры трубопроводной (арматуры)|Деятельность по предоставлению прочих мест для временного проживания|Аренда и управление собственным или арендованным нежилым недвижимым имуществом|Деятельность охранных служб, в том числе частных%720301001%1027200789220%2002-09-02%1997-06-26%Действующее%1961658.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - СИБИРЬ"""
1660110241%420012, Республика Татарстан, г. Казань, ул. Достоевского, д. 18/75%42.11%Строительство автомобильных дорог и автомагистралей%45.19.1|23.61|10.71|08.99.3|45.11.4|71.12.1|68.31.1|42.91.4|43.99%Торговля оптовая прочими автотранспортными средствами|Производство изделий из бетона для использования в строительстве|Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения|Добыча драгоценных камней, кварца, слюды, мусковита и т. д.|Торговля оптовая легковыми автомобилями и легкими автотранспортными средствами за вознаграждение или на договорной основе|Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора|Предоставление посреднических услуг при купле-продаже недвижимого имущества за вознаграждение или на договорной основе|Производство дноочистительных, дноуглубительных и берегоукрепительных работ|Работы строительные специализированные прочие, не включенные в другие группировки%165501001%1081690007068%2008-02-08%2008-02-08%Действующее%7933305000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТАВТОДОР"""
5260080007%603000, Нижегородская область, г. Нижний Новгород, ул. Звездинка, д. 11%49.50.21%Транспортирование по трубопроводам газа%93.19|47.79.3|42.22.1|80.10|86.21|68.32|55.90|35.13|85.41.2%Деятельность в области спорта прочая|Торговля розничная прочими бывшими в употреблении товарами|Строительство междугородних линий электропередачи и связи|Деятельность охранных служб, в том числе частных|Общая врачебная практика|Управление недвижимым имуществом за вознаграждение или на договорной основе|Деятельность по предоставлению прочих мест для временного проживания|Распределение электроэнергии|Образование в области культуры%526001001%1025203016332%2002-08-15%1999-06-30%Действующее%4090016000.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД"""
277077282%450059, Республика Башкортостан, г. Уфа, ул. Рихарда Зорге, д. 3%35.11.1%Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций%84.25|49.41.3|43.99|71.12.63|77.33|71.12.13|68.31.4|36.00.2|72.1%Деятельность по обеспечению безопасности в чрезвычайных ситуациях; деятельность по обеспечению безопасности в области использования атомной энергии|Аренда грузового автомобильного транспорта с водителем|Работы строительные специализированные прочие, не включенные в другие группировки|Деятельность в области аккредитации|Аренда и лизинг офисных машин и оборудования, включая вычислительную технику|Разработка проектов по кондиционированию воздуха, холодильной технике, санитарной технике и мониторингу загрязнения окружающей среды, строительной акустике|Предоставление консультационных услуг по аренде недвижимого имущества за вознаграждение или на договорной основе|Распределение воды для питьевых и промышленных нужд|Научные исследования и разработки в области естественных и технических наук%27801001%1060277052098%2006-07-28%2006-07-28%Действующее%24038539087.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАШКИРСКАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ"""
1655049111%420094, Республика Татарстан, г. Казань, ул. Бондаренко, д. 3%35.12%Передача электроэнергии и технологическое присоединение к распределительным электросетям%35.13|43.12|62.03.13|46.14.9|82.20|63.99.1|43.21|72.19|71.12%Распределение электроэнергии|Подготовка строительной площадки|Деятельность по сопровождению компьютерных систем|Деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием|Деятельность центров обработки телефонных вызовов|Деятельность по оказанию консультационных и информационных услуг|Производство электромонтажных работ|Научные исследования и разработки в области естественных и технических наук прочие|Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях%165701001%1021602830930%2002-10-11%2001-12-11%Действующее%7596628790.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТЕВАЯ КОМПАНИЯ"""
1681000049%420111, Республика Татарстан, г. Казань, ул. Баумана, д. 44/8%11.01.1%Производство дистиллированных питьевых алкогольных напитков: водки, виски, бренди, джина, ликеров и т. п.%46.72.23|68.10.21|93.19|93.11|71.12.6|10.13|68.20.1|46.11.31|10.89.1%Торговля оптовая золотом и другими драгоценными металлами|Покупка и продажа собственного жилого недвижимого имущества|Деятельность в области спорта прочая|Деятельность спортивных объектов|Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции|Производство продукции из мяса убойных животных и мяса птицы|Аренда и управление собственным или арендованным жилым недвижимым имуществом|Деятельность агентов по оптовой торговле зерном|Производство супов и бульонов%165501001%1041626847723%2004-12-01%2004-12-01%Действующее%1742302000.0%"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТСПИРТПРОМ"""
7728262893%197229, г. Санкт-Петербург, вн. тер. г. муниципальный округ Лахта-Ольгино, пр-кт Лахтинский, д. 2, к. 3, стр. 1%49.20%Деятельность железнодорожного транспорта: грузовые перевозки%52.21.23|52.24.1|71.12.43|71.12.4|35.12|68.20.2|52.29|35.12.1|71.12.1%Деятельность по эксплуатации мостов и тоннелей|Транспортная обработка контейнеров|Деятельность гидрографическая изыскательская|Деятельность геодезическая и картографическая|Передача электроэнергии и технологическое присоединение к распределительным электросетям|Аренда и управление собственным или арендованным нежилым недвижимым имуществом|Деятельность вспомогательная прочая, связанная с перевозками|Передача электроэнергии|Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора%781401001%1027728000871%2002-07-24%2002-07-24%Действующее%14058481948.0%"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМТРАНС"""
